Term;TF;IDF;TF-IDF
абсолютно;0.00014;0.223144;0.000323
абстрактный;0.00014;2.302585;0.000226
август;0.002107;0.510826;0.001076
авто;0.00014;1.609438;0.000323
автоматизация;0.00014;0.693147;0.000226
автоматический;0.001404;0.105361;0.00226
автор;0.000562;0.916291;0.000515
авторство;0.00014;2.302585;1.5e-05
автостоп;0.00014;0.356675;0.000323
агентство;0.00014;2.302585;9.7e-05
ад;0.00014;1.203973;0.000226
административный;0.00014;1.609438;0.000226
администрирование;0.000562;0.916291;0.001294
активно;0.000983;1.203973;0.001582
алгебра;0.00014;1.609438;0.000323
алгол;0.000281;1.609438;0.000452
алгоритм;0.001124;0.693147;0.001353
алекс;0.00014;2.302585;0.000226
алексеевич;0.00014;2.302585;0.000323
алфавит;0.00014;1.609438;0.000226
алфавитувикипедия;0.00014;0.916291;0.000169
алфавитупро;0.00014;2.302585;0.000129
алфавитуязык;0.00014;1.203973;0.000226
альтернатива;0.000281;1.609438;0.000647
амер;0.000421;2.302585;0.00097
американский;0.00014;1.609438;0.000169
анализ;0.000983;1.609438;0.001184
анализатор;0.00014;1.609438;0.000323
аналог;0.000281;0.693147;0.000257
аналогичный;0.000843;0.105361;0.001015
аналогия;0.00014;1.203973;0.000226
англ;0.011517;2.302585;0.004108
анимационный;0.00014;1.609438;0.000226
аннотация;0.00014;0.356675;0.000226
анонимный;0.00014;1.203973;0.000169
аппаратный;0.00014;2.302585;0.000169
апрель;0.002388;1.203973;0.00122
аргумент;0.000421;0.510826;0.000292
арх;0.000421;2.302585;0.00097
архив;0.000421;1.609438;0.000292
архивировать;0.022893;0.105361;0.008165
архивный;0.00014;1.609438;9.7e-05
архитектура;0.000281;2.302585;0.000452
архитектурный;0.000281;2.302585;0.000647
асинхронный;0.000983;0.916291;0.002264
аспектный;0.000281;1.203973;0.000647
ассемблер;0.00014;1.609438;0.000226
ассоциативность;0.00014;2.302585;0.000323
ассоциативный;0.000281;2.302585;0.000647
астрономический;0.00014;2.302585;0.000323
атрибут;0.002247;0.510826;0.003617
база;0.000421;2.302585;0.000215
базироваться;0.000281;2.302585;0.000647
базовый;0.000702;2.302585;0.00113
байт;0.001124;1.609438;0.001808
байтокод;0.00014;1.203973;0.000323
батарейка;0.00014;2.302585;0.000323
безопасность;0.000421;2.302585;0.000386
бейдёр;0.00014;2.302585;0.000323
бейсик;0.00014;1.609438;0.000226
бесплатно;0.00014;2.302585;0.000169
бесплатный;0.000843;0.916291;0.001015
библиографический;0.00014;1.609438;7.2e-05
библиотека;0.006039;0.105361;0.005534
биоинформатика;0.00014;0.510826;0.000323
битный;0.00014;2.302585;0.000323
близкий;0.000421;1.609438;0.000507
блок;0.002388;1.609438;0.00122
блокировать;0.000281;1.609438;0.000338
блокировка;0.000983;0.916291;0.000502
богатый;0.000281;1.203973;0.000452
более;0.00014;2.302585;0.000226
больший;0.001404;1.203973;0.000717
большинство;0.001124;0.693147;0.000779
большой;0.000702;0.916291;0.00025
брайена;0.00014;1.609438;0.000323
брать;0.00014;1.203973;0.000323
браузерный;0.00014;0.693147;0.000323
британский;0.00014;1.609438;0.000129
будущий;0.00014;2.302585;0.000226
буква;0.00014;1.609438;9.7e-05
булев;0.00014;2.302585;0.000226
булевый;0.00014;1.203973;0.000323
бхв;0.00014;1.609438;0.000226
быстро;0.00014;1.609438;0.000226
быстродействие;0.000421;1.203973;0.000678
быстрый;0.000702;0.916291;0.000487
быть;0.000421;0.510826;0.000292
бэкенд;0.00014;1.609438;0.000323
бэкэнд;0.00014;0.105361;0.000323
важный;0.000281;1.203973;0.000257
ван;0.001124;2.302585;0.00103
вариант;0.001545;1.609438;0.000789
васильев;0.00014;1.609438;0.000323
введение;0.00014;2.302585;0.000323
ввести;0.00014;1.609438;9.7e-05
ввод;0.000562;0.916291;0.000904
вводить;0.000281;0.356675;0.000452
вдохновить;0.00014;1.609438;0.000169
веб;0.000843;1.609438;0.000301
ведение;0.00014;1.203973;0.000169
версия;0.00309;2.302585;0.0
вершина;0.00014;2.302585;0.000323
вестись;0.00014;0.693147;0.000169
весь;0.000562;2.302585;0.000287
весьма;0.00014;2.302585;0.000323
ветвь;0.00014;2.302585;0.000323
вещь;0.00014;2.302585;0.000323
взаимодействие;0.00014;2.302585;0.000226
взятие;0.00014;0.356675;0.000226
взять;0.00014;0.0;0.000169
вид;0.000843;2.302585;0.00043
видение;0.00014;1.609438;0.000323
видеоредактор;0.00014;0.105361;0.000323
видимость;0.000562;2.302585;0.001294
видный;0.00014;0.693147;0.000169
визуализация;0.00014;1.609438;0.000323
визуальный;0.000281;1.203973;0.000647
викиверситет;0.00014;1.203973;0.000323
викиданныхпро;0.00014;0.693147;0.000226
викидать;0.00014;1.609438;1.5e-05
викимедиа;0.00014;2.302585;1.5e-05
википедия;0.001545;2.302585;0.000163
викисклад;0.000281;1.203973;0.000257
викискладстатья;0.00014;1.609438;0.000323
викитека;0.00014;1.609438;0.000323
викитекемедиафайл;0.00014;2.302585;0.000323
викиучебник;0.00014;0.356675;0.000323
викиучебникетекст;0.00014;1.609438;0.000323
виртуальный;0.001264;0.356675;0.001522
включать;0.000281;0.0;0.000338
включая;0.000983;2.302585;0.001184
включительно;0.00014;2.302585;0.000323
включить;0.00014;1.203973;0.000129
влияние;0.00014;0.916291;0.000129
влиять;0.000281;2.302585;0.000338
вложить;0.000702;1.609438;0.00113
вместе;0.000281;2.302585;0.000195
вместо;0.000983;0.916291;0.000901
внешний;0.000702;1.609438;0.000157
внимание;0.000281;1.609438;0.000452
внутренний;0.000281;1.203973;0.000195
внутри;0.001124;2.302585;0.001353
возбудить;0.00014;1.203973;0.000323
возбуждать;0.00014;2.302585;0.000323
возбуждение;0.00014;2.302585;0.000323
возврат;0.000281;2.302585;0.000647
возвращать;0.000281;1.203973;0.000338
возвращаться;0.00014;0.105361;0.000323
возможно;0.000702;1.609438;0.000487
возможность;0.005337;2.302585;0.00489
возможный;0.000702;2.302585;0.000359
возникать;0.000281;2.302585;0.000647
вокруг;0.00014;2.302585;0.000169
волшебный;0.000281;1.609438;0.000195
вообще;0.00014;2.302585;9.7e-05
вопрос;0.00014;1.203973;9.7e-05
восприятие;0.00014;0.916291;0.000226
восстановление;0.00014;1.609438;0.000169
восьмеричный;0.00014;0.105361;0.000323
вот;0.00014;2.302585;0.000323
вплоть;0.00014;1.203973;0.000226
временной;0.00014;1.203973;0.000169
время;0.00323;0.105361;0.001152
вследствие;0.00014;0.916291;0.000323
вставляться;0.00014;0.916291;0.000323
встречаться;0.00014;1.609438;0.000129
встроить;0.002528;2.302585;0.003044
всё;0.000702;0.356675;7.4e-05
второй;0.000421;1.203973;0.000292
входить;0.00014;2.302585;0.000129
вхождение;0.00014;1.609438;0.000226
выбор;0.000281;2.302585;0.000338
вывести;0.00014;1.609438;0.000323
вывод;0.000562;2.302585;0.000676
выводиться;0.000843;1.203973;0.001356
выглядеть;0.00014;0.916291;0.000129
выгодный;0.00014;2.302585;0.000323
выдаваться;0.00014;2.302585;0.000323
выдать;0.00014;1.609438;0.000226
выделение;0.000421;0.916291;0.00097
выделяться;0.00014;0.916291;0.000323
вызвать;0.00014;1.609438;9.7e-05
вызов;0.001404;2.302585;0.00226
вызывать;0.000562;0.916291;0.000904
вызываться;0.000281;1.609438;0.000452
выйти;0.000281;0.105361;0.000452
вынести;0.00014;0.510826;0.000226
вып;0.00014;1.609438;0.000226
выполнение;0.002107;1.203973;0.003391
выполнить;0.000421;1.609438;0.000507
выполнять;0.000421;2.302585;0.000386
выполняться;0.000843;1.609438;0.001356
выпуск;0.00014;0.356675;0.000129
выпускаться;0.00014;0.105361;0.000226
выпустить;0.00014;2.302585;0.000169
выравнивание;0.00014;0.693147;0.000323
выражение;0.002247;1.203973;0.002059
высокий;0.000562;2.302585;0.000287
высокоуровневый;0.000562;2.302585;0.001294
выходить;0.000281;2.302585;0.000452
вычисление;0.001124;2.302585;0.001808
вычислительный;0.000281;2.302585;0.000452
вычислить;0.00014;0.510826;0.000226
вычисляться;0.00014;2.302585;0.000226
выше;0.000281;0.916291;0.000195
выявить;0.00014;2.302585;0.000323
выяснить;0.000281;1.609438;0.000647
гвидо;0.001826;0.693147;0.004204
генератор;0.002388;0.916291;0.003843
генераторный;0.000421;1.609438;0.00097
генерация;0.00014;2.302585;0.000226
генерировать;0.00014;0.916291;0.000323
генерироваться;0.00014;0.916291;0.000323
геоинформационный;0.00014;0.105361;0.000323
гетерогенный;0.00014;0.916291;0.000323
гибкий;0.00014;1.203973;0.000226
гибкость;0.000421;0.105361;0.00097
гипертекстовый;0.00014;0.916291;0.000323
глобальный;0.001124;0.105361;0.00103
глубина;0.00014;2.302585;0.000226
глубокий;0.00014;2.302585;0.000226
глубоко;0.00014;0.916291;0.000323
говорить;0.000421;1.609438;0.00097
год;0.023736;1.609438;0.005297
годавикипедия;0.00014;1.609438;0.000323
голландский;0.00014;2.302585;0.000323
гораздо;0.00014;2.302585;0.000169
готовый;0.000281;1.609438;0.000647
грамматика;0.00014;1.609438;0.000323
графика;0.00014;1.609438;0.000226
графический;0.000281;1.203973;0.000452
громоздкий;0.00014;1.609438;0.000323
группа;0.00014;2.302585;0.000129
группировка;0.00014;1.609438;0.000226
давать;0.000983;2.302585;0.000681
далее;0.00014;2.302585;0.000226
данные;0.003371;1.609438;0.000752
данный;0.000843;1.609438;0.000584
дата;0.019101;1.203973;0.004262
датский;0.00014;2.302585;0.000169
дать;0.000843;0.105361;0.000188
два;0.000562;2.302585;0.000287
движок;0.00014;1.609438;0.000226
двоичный;0.00014;1.609438;0.000226
двумерный;0.00014;0.916291;0.000323
девиз;0.00014;2.302585;0.000323
действие;0.000281;2.302585;0.0001
действительно;0.000281;2.302585;0.000452
действовать;0.00014;1.203973;0.0
декабрь;0.002107;2.302585;0.00047
декоратор;0.001124;2.302585;0.002587
делать;0.001545;1.609438;0.000551
делаться;0.00014;2.302585;0.000169
деление;0.00014;2.302585;0.000323
дело;0.000421;1.609438;0.000292
демонстрировать;0.00014;1.609438;0.000323
денис;0.00014;0.693147;0.000169
день;0.000281;2.302585;6.3e-05
дерево;0.00014;1.203973;0.000323
деструктор;0.00014;2.302585;0.000226
десятка;0.000281;1.609438;0.000452
деятельность;0.00014;1.609438;0.000226
джейсон;0.00014;1.609438;0.000323
дзен;0.000562;1.609438;0.000676
дизайн;0.000281;2.302585;0.000452
дизайнерский;0.00014;0.356675;0.000323
динамизм;0.00014;0.916291;0.000323
динамический;0.00309;1.609438;0.004973
дистрибутив;0.00014;0.916291;0.000323
длина;0.00014;0.916291;0.000226
длительный;0.00014;0.105361;0.000323
для;0.000843;1.203973;0.000584
дмк;0.00014;2.302585;0.000226
днейвикипедия;0.00014;0.105361;0.000226
добавить;0.000421;2.302585;0.000215
добавление;0.00014;0.916291;0.000129
добавлять;0.000562;1.609438;0.000515
довольно;0.00014;1.609438;0.000323
документ;0.00014;0.105361;0.000129
документация;0.001966;2.302585;0.002367
документирование;0.00014;1.203973;0.000226
документироваться;0.00014;1.609438;0.000323
должный;0.000983;1.609438;0.000104
дом;0.000421;1.203973;0.000507
дополнение;0.000562;2.302585;0.000676
дополнительный;0.000983;1.609438;0.000104
дополнить;0.000421;1.609438;0.000678
дорога;0.00014;1.203973;0.000323
дорогостоящий;0.00014;0.356675;0.000323
достаточно;0.000983;1.609438;0.001184
достаточный;0.00014;1.609438;0.000226
достигаться;0.000281;0.105361;0.000647
доступ;0.001685;1.609438;0.001168
доступно;0.00014;2.302585;0.000323
доступный;0.001264;1.609438;0.0
досуг;0.00014;2.302585;0.000323
дрон;0.00014;0.693147;0.000323
друг;0.000562;0.510826;0.000515
другой;0.00618;1.609438;0.0
дружелюбный;0.00014;1.609438;0.000323
дубликат;0.000281;2.302585;0.000647
дублироваться;0.00014;0.693147;0.000323
думать;0.00014;1.609438;0.000323
