Term,TF,IDF,TF-IDF
абстрактность,0.00049,0.0,0.001128
абстрактный,0.001633,2.302585,0.002629
август,0.002287,2.302585,0.001168
автоматически,0.000653,0.356675,0.000787
автоматический,0.001143,2.302585,0.00184
автор,0.000327,2.302585,0.000299
авторство,0.000163,1.203973,1.7e-05
ад,0.000327,0.693147,0.000526
адрес,0.00098,1.203973,0.000679
активация,0.000163,1.609438,0.000376
активно,0.000163,0.693147,0.000263
акторный,0.000163,0.693147,0.000376
алгол,0.000163,0.916291,0.000263
алгоритм,0.000817,1.609438,0.000983
алекс,0.000327,1.203973,0.000526
алексей,0.000163,1.203973,0.000197
аллюзия,0.000163,1.609438,0.000376
алфавитувикипедия,0.000163,0.510826,0.000197
алфавитупро,0.000163,1.203973,0.00015
алфавитуязык,0.000163,0.356675,0.000263
альтернативный,0.00049,1.609438,0.001128
амперсанд,0.00049,0.916291,0.001128
анализ,0.000163,2.302585,0.000197
аналог,0.00049,2.302585,0.000449
аналогичный,0.00049,0.916291,0.00059
аналогия,0.000163,1.203973,0.000263
англ,0.008657,1.609438,0.003088
английский,0.000163,1.609438,0.000263
аннотация,0.001143,2.302585,0.00184
аннотировать,0.000163,2.302585,0.000376
анонимный,0.000163,0.510826,0.000197
анонсировать,0.000163,0.693147,0.000263
аппаратный,0.00049,2.302585,0.00059
апплет,0.00049,0.510826,0.001128
апрель,0.000653,0.0,0.000334
аргумент,0.00049,0.693147,0.00034
арифметический,0.000163,1.609438,0.000376
архив,0.000327,0.693147,0.000226
архивировать,0.013231,1.203973,0.004719
архивный,0.000817,2.302585,0.000566
архитектура,0.000817,0.693147,0.001314
аспект,0.000163,1.609438,0.000197
ассемблер,0.000163,0.916291,0.000263
атрибут,0.000163,1.203973,0.000263
аудиофайл,0.000163,2.302585,0.000376
аутентификация,0.000163,0.693147,0.000376
база,0.00049,1.203973,0.00025
базовый,0.00098,0.356675,0.001577
байт,0.002123,1.203973,0.003418
байткод,0.000163,1.609438,0.000376
байтовый,0.000327,2.302585,0.000752
